list-none-none,1,10,1,30,158235,5274
list-none-none,1,100,1,300,156286,520
list-none-none,1,1000,1,3000,159088,53
list-none-none,1,10000,1,30000,742818,24
list-none-none,1,20000,1,60000,1265938,21
list-none-none,2,1,1,6,191312,31885
list-none-none,2,100,1,600,130382,217
list-none-none,4,1,1,12,185057,15421
list-none-none,8,1,1,24,276814,11533
list-none-none,12,1,1,36,368921,10247
list-d-none,4,1,1,12,159094,13257
list-il-none,2,1,1,6,134471,22411
list-il-none,2,2,1,12,180108,15009
list-il-none,2,4,1,24,134725,5613
list-il-none,2,16,1,96,208384,2170
list-il-none,2,32,1,192,236373,1231
list-il-none,4,1,1,12,159044,13253
list-il-none,4,2,1,24,247784,10324
list-dl-none,2,1,1,6,165891,27648
list-dl-none,4,2,1,24,192869,8036
list-i-m,12,1,1,36,506708,14075
list-i-m,12,2,1,72,353790,4913
list-i-m,12,4,1,144,333572,2316
list-i-m,12,8,1,288,379410,1317
list-i-m,12,16,1,576,696144,1208
list-i-m,12,32,1,1152,1451950,1260
list-d-m,12,1,1,36,348108,9669
list-d-m,12,2,1,72,395800,5497
list-d-m,12,4,1,144,376456,2614
list-d-m,12,8,1,288,596594,2071
list-d-m,12,16,1,576,692572,1202
list-d-m,12,32,1,1152,1341915,1164
list-il-m,12,1,1,36,364396,10122
list-il-m,12,2,1,72,391246,5433
list-il-m,12,4,1,144,661130,4591
list-il-m,12,8,1,288,816210,2834
list-il-m,12,16,1,576,1320818,2293
list-il-m,12,32,1,1152,2508309,2177
list-dl-m,12,1,1,36,369800,10272
list-dl-m,12,2,1,72,384953,5346
list-dl-m,12,4,1,144,405866,2818
list-dl-m,12,8,1,288,752121,2611
list-dl-m,12,16,1,576,1133784,1968
list-dl-m,12,32,1,1152,1944462,1687
list-i-s,12,1,1,36,370094,10280
list-i-s,12,2,1,72,370024,5139
list-i-s,12,4,1,144,372851,2589
list-i-s,12,8,1,288,456817,1586
list-i-s,12,16,1,576,799363,1387
list-i-s,12,32,1,1152,1659449,1440
list-d-s,12,1,1,36,417823,11606
list-d-s,12,2,1,72,381922,5304
list-d-s,12,4,1,144,351571,2441
list-d-s,12,8,1,288,334098,1160
list-d-s,12,16,1,576,716189,1243
list-d-s,12,32,1,1152,1470797,1276
list-il-s,12,1,1,36,1385033,38473
list-il-s,12,2,1,72,326924,4540
list-il-s,12,4,1,144,1455539,10107
list-il-s,12,8,1,288,590999,2052
list-il-s,12,16,1,576,1881645,3266
list-il-s,12,32,1,1152,4226106,3668
list-dl-s,12,1,1,36,425401,11816
list-dl-s,12,2,1,72,394111,5473
list-dl-s,12,4,1,144,380695,2643
list-dl-s,12,8,1,288,398248,1382
list-dl-s,12,16,1,576,2720901,4723
list-dl-s,12,32,1,1152,2890449,2509
list-none-s,1,1000,1,3000,167637,55
list-none-s,2,1000,1,6000,1090456,181
list-none-s,4,1000,1,12000,3801545,316
list-none-s,8,1000,1,24000,12420776,517
list-none-s,12,1000,1,36000,27494250,763
list-none-s,16,1000,1,48000,77845517,1621
list-none-s,24,1000,1,72000,165949200,2304
list-none-m,1,1000,1,3000,291754,97
list-none-m,2,1000,1,6000,1328370,221
list-none-m,4,1000,1,12000,4693032,391
list-none-m,8,1000,1,24000,12636228,526
list-none-m,12,1000,1,36000,20276172,563
list-none-m,16,1000,1,48000,27821273,579
list-none-m,24,1000,1,72000,42437670,589
